,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
2298,31008,0,0,0,0,0,0,0,0
2299,31009,0,0,0,1,1,0,-1,0
2300,31010,0,0,0,0,1,0,-1,0
2301,31011,0,0,1,1,1,1,-1,-1
2302,31012,0,0,0,0,1,0,-1,0
2303,31013,0,1,1,1,1,1,-1,0
2304,31014,0,0,0,0,0,0,0,0
2305,31015,0,0,0,1,0,0,0,0
2306,31016,0,1,0,0,1,1,-1,0
2307,31017,0,0,0,0,1,0,-1,0
2308,31018,0,0,0,0,0,0,0,0
2309,31019,1,1,1,1,1,1,0,0
2310,31020,0,1,0,1,0,1,0,0
2311,31021,0,1,0,1,1,1,-1,0
2312,31022,0,0,0,1,1,0,-1,0
2313,31023,0,0,0,1,0,0,0,0
2314,31024,0,1,1,1,0,1,0,0
2315,31025,0,1,0,1,1,1,-1,0
2316,31026,0,0,0,0,0,0,0,0
2317,31027,0,0,1,1,0,0,0,0
2318,31028,0,1,0,1,0,1,0,0
2319,31029,0,0,0,1,0,0,0,0
2320,31030,0,0,0,1,1,1,-1,-1
2321,31031,0,0,0,1,1,0,-1,0
2322,31032,1,0,1,1,1,0,0,0
2323,31033,1,1,1,1,1,1,0,0
2324,31034,0,0,0,1,0,0,0,0
2325,31035,0,0,0,1,1,0,-1,0
2326,31036,0,1,1,1,0,1,0,0
2327,31037,0,1,0,1,1,1,-1,0
2328,31038,1,1,1,1,1,1,0,0
2329,31039,0,1,0,1,0,1,0,0
2330,31040,1,1,1,1,1,0,0,1
2331,31041,1,1,1,1,1,1,0,0
2332,31042,0,0,0,1,0,0,0,0
2333,31043,0,0,0,1,1,1,-1,-1
2334,31044,0,1,0,1,0,1,0,0
2335,31045,0,0,0,0,1,0,-1,0
2336,31046,0,1,0,0,0,1,0,0
2337,31047,0,1,1,1,0,1,0,0
2338,31048,1,0,1,1,1,0,0,0
2339,31049,0,1,0,1,0,1,0,0
2340,31050,1,1,1,1,1,1,0,0
2341,31051,0,0,0,0,0,0,0,0
2342,31052,1,1,1,1,0,1,1,0
2343,31053,1,0,1,1,0,0,1,0
2344,31054,0,0,0,0,0,0,0,0
2345,31055,0,1,0,1,0,1,0,0
2346,31056,1,0,1,1,0,1,1,-1
2347,31057,0,0,1,1,0,0,0,0
2348,31058,1,0,1,1,1,0,0,0
2349,31059,1,1,1,1,1,1,0,0
2350,31060,0,0,0,0,1,0,-1,0
2351,31061,0,0,0,0,0,0,0,0
2352,31062,0,1,0,1,0,1,0,0
2353,31063,0,0,0,0,0,0,0,0
2354,31064,0,0,0,0,1,0,-1,0
2355,31065,0,0,0,0,0,1,0,-1
2356,31066,0,1,0,1,1,1,-1,0
2357,31067,0,1,1,1,1,0,-1,1
2358,31068,0,0,0,0,0,0,0,0
2359,31069,0,1,1,1,1,1,-1,0
2360,31070,0,0,0,1,0,0,0,0
2361,31071,0,0,0,0,0,0,0,0
2362,31072,0,0,0,0,0,0,0,0
2363,31073,0,1,1,1,0,1,0,0
2364,31074,0,0,0,1,0,0,0,0
2365,31075,0,1,1,1,1,1,-1,0
2366,31076,0,1,1,1,1,1,-1,0
2367,31077,0,0,0,1,1,0,-1,0
2368,31078,0,0,0,1,0,0,0,0
2369,31079,1,1,1,1,1,0,0,1
2370,31080,1,1,1,1,0,0,1,1
2371,31081,0,0,0,0,0,0,0,0
2372,31082,0,0,0,1,0,0,0,0
2373,31083,0,0,0,0,0,0,0,0
2374,31084,0,1,1,1,1,1,-1,0
2375,31085,1,1,1,1,1,0,0,1
2376,31086,0,0,0,0,0,0,0,0
2377,31087,0,0,0,1,0,1,0,-1
2378,31088,0,0,0,0,0,0,0,0
2379,31089,1,1,1,1,1,1,0,0
2380,31090,0,1,0,1,0,1,0,0
2381,31091,1,1,1,1,1,0,0,1
2382,31092,0,1,0,1,1,1,-1,0
2383,31093,1,0,1,1,0,0,1,0
2384,31094,0,0,0,1,1,0,-1,0
2385,31095,0,0,0,1,0,0,0,0
2386,31096,1,1,1,1,1,1,0,0
2387,31097,0,0,0,1,1,0,-1,0
2388,31098,1,1,1,1,1,1,0,0
2389,31099,0,1,0,1,0,1,0,0
2390,31100,0,0,0,0,0,1,0,-1
2391,31101,1,1,1,1,1,1,0,0
2392,31102,1,1,1,1,1,1,0,0
2393,31103,0,1,0,0,0,1,0,0
2394,31104,0,0,1,1,1,0,-1,0
2395,31105,0,0,0,0,0,1,0,-1
2396,31106,0,0,0,0,0,0,0,0
2397,32001,0,0,0,0,1,0,-1,0
2398,32002,0,0,0,0,0,0,0,0
2399,32003,0,0,0,0,0,0,0,0
2400,32004,0,0,0,0,0,0,0,0
2401,32005,1,1,1,1,1,1,0,0
